来源,reason,原始相对路径,duration_sec,rms
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363169610000000000_333_2785796.wav,5.04,0.11594
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363156720000000001_333_2784494.wav,4.96,0.09754
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363157590000000008_333_2784683.wav,5.46,0.14119
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363149270000000006_333_2784205.wav,5.45,0.22061
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009026180000000007_333_2788585.wav,5.25,0.11639
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326010015630000000002_333_2790513.wav,5.06,0.07854
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363167550000000004_333_2785331.wav,4.95,0.13647
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363022490000000008_333_2781657.wav,4.7,0.1223
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363081830000000002_333_2782520.wav,5.1,0.19202
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363179260000000005_333_2787089.wav,4.76,0.22532
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363176280000000007_333_2786783.wav,5.05,0.17273
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009025770000000006_333_2788388.wav,5.26,0.09519
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009010710000000000_333_2787370.wav,5.05,0.10593
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363180070000000006_333_2787134.wav,5.11,0.13512
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363168680000000007_333_2785621.wav,5.07,0.12263
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009027200000000009_333_2788972.wav,5.31,0.11169
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009025910000000000_333_2788460.wav,5.07,0.13505
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363056110000000000_333_2781995.wav,5.41,0.19434
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009027270000000006_333_2789010.wav,5.26,0.13194
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363081950000000004_333_2782546.wav,4.99,0.12403
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363005130000000002_333_2781302.wav,5.37,0.14695
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363176380000000007_333_2786810.wav,4.91,0.09441
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363130480000000007_333_2782908.wav,5.1,0.13953
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326010015220000000001_333_2790450.wav,5.28,0.12969
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363148550000000004_333_2784036.wav,5.17,0.16033
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363134030000000002_333_2783051.wav,5.17,0.20399
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363167020000000001_333_2785223.wav,4.76,0.13152
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009026290000000008_333_2788675.wav,4.98,0.11708
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363021470000000006_333_2781534.wav,5.15,0.13702
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363172410000000000_333_2786387.wav,5.42,0.09114
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363056460000000005_333_2782046.wav,4.92,0.07639
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363011800000000009_333_2781414.wav,4.9,0.19414
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363134020000000001_333_2783042.wav,5.52,0.11344
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363060260000000005_333_2782248.wav,5.11,0.07719
